"","pct_defoliation","PG"
"1",1,0.94016
"2",2,0.93332
"3",3,0.92648
"4",4,0.91964
"5",5,0.9128
"6",6,0.90596
"7",7,0.89912
"8",8,0.89228
"9",9,0.88544
"10",10,0.8786
"11",11,0.87176
"12",12,0.86492
"13",13,0.85808
"14",14,0.85124
"15",15,0.8444
"16",16,0.83756
"17",17,0.83072
"18",18,0.82388
"19",19,0.81704
"20",20,0.8102
"21",21,0.80336
"22",22,0.79652
"23",23,0.78968
"24",24,0.78284
"25",25,0.776
"26",26,0.76916
"27",27,0.76232
"28",28,0.75548
"29",29,0.74864
"30",30,0.7418
"31",31,0.73496
"32",32,0.72812
"33",33,0.72128
"34",34,0.71444
"35",35,0.7076
"36",36,0.70076
"37",37,0.69392
"38",38,0.68708
"39",39,0.68024
"40",40,0.6734
"41",41,0.66656
"42",42,0.65972
"43",43,0.65288
"44",44,0.64604
"45",45,0.6392
"46",46,0.63236
"47",47,0.62552
"48",48,0.61868
"49",49,0.61184
"50",50,0.605
"51",51,0.59816
"52",52,0.59132
"53",53,0.58448
"54",54,0.57764
"55",55,0.5708
"56",56,0.56396
"57",57,0.55712
"58",58,0.55028
"59",59,0.54344
"60",60,0.5366
"61",61,0.52976
"62",62,0.52292
"63",63,0.51608
"64",64,0.50924
"65",65,0.5024
"66",66,0.49556
"67",67,0.48872
"68",68,0.48188
"69",69,0.47504
"70",70,0.4682
"71",71,0.46136
"72",72,0.45452
"73",73,0.44768
"74",74,0.44084
"75",75,0.434
"76",76,0.42716
"77",77,0.42032
"78",78,0.41348
"79",79,0.40664
"80",80,0.3998
"81",81,0.39296
"82",82,0.38612
"83",83,0.37928
"84",84,0.37244
"85",85,0.3656
"86",86,0.35876
"87",87,0.35192
"88",88,0.34508
"89",89,0.33824
"90",90,0.3314
"91",91,0.32456
"92",92,0.31772
"93",93,0.31088
"94",94,0.30404
"95",95,0.2972
"96",96,0.29036
"97",97,0.28352
"98",98,0.27668
"99",99,0.26984
"100",100,0.263
