budworms,defoliation
0,0
0,0
0.1411,1.13
0.2,2.43
0.15,5.74
0.29,0.98
0.33,0.98
0.44,1.37
0.49,4.33
0.46,8
0.67,9.33
0.69,21.3
0.79,21.1
0.84,5.55
0.89,16.4
0.92,8.46
0.96,8.1
0.98,13.1
1.02,9.95
1.02,4.79
1.1,5
1.07,9.41
1.11,10.2
1.19,10
1.17,12
1.21,12.9
1.16,15.5
1.36,10.9
1.55,14.47
1.43,18.5
1.42,21.3
1.22,21.8
1.19,24.3
1.34,24.6
1.41,27.7
1.16,33.9
1.35,33.4
1.58,33.8
0.97,36.6
1.34,35.8
1.66,37
1.63,39.7
1.57,39.5
1.34,40
1.16,45.7
1.44,47.2
1.36,49.1
1.47,47.2
1.68,51
1.6,53.3
1.49,55
1.89,56
1.56,59.2
1.53,67.7
1.38,66.6
1.39,68.21
1.5,72.7
1.47,81.7
1.57,81.7
1.95,85.6
1.95,79
2.47,91.1
